WD,WLC,WLA,WIA,TD,TI,UCS,MTL,TN,ATI,TBD
4,2,3.04,2.11,25.84,3.58,47.24,1.72,18,0.081,201
4,3,7.28,6.84,54.61,9.34,34.65,1.52,12,0.21,204
3,4,7.88,6.57,62.47,8.38,39.64,1.56,16,0.18,194
4,2,10.68,1.01,23.46,3.66,41.25,1.79,18,0.08,278
4,3,6.87,6.48,70.54,10.89,34.57,1.49,14,0.126,165
4,5,10.1,12.35,99.12,26.89,10.2,1.87,16,0.15,354
3,3,8.9,10.23,63.44,18.64,32,1.1,8,0.16,204
2,2,4.3,6.01,35.66,11.56,50.56,0.875,13,0.08,247
2,1,0,0,2.36,3.57,60.25,1.89,18,0.111,264
4,4,12.35,11.68,106.53,24.28,4.66,1.439,17,0.12,99
4,4,10.32,8.67,70.23,17.83,17.58,0.91,9,0.57,312
3,3,3.62,4.56,41.66,10.24,35.84,1.53,8,0.5,186
2,2,2.18,1.25,10.36,3.57,43.65,1.8,13,0.09,146
2,1,0.23,0,1.65,1.28,66.85,0.2,2,0.68,11
4,4,12.66,11.35,106.23,27.34,5.24,0.544,17,0.57,290
3,3,9.56,7.54,72.65,19.54,22.31,1.184,12,0.17,213
2,2,6.48,3.56,43.24,12.58,37.58,0.935,13,0.08,350
2,1,2.56,1.03,18.23,6.27,45.66,1.46,2,0.072,11
2,1,0,0,6.25,2.54,57.12,1.78,18,0.17,195
4,5,13.67,12.34,99.37,19.85,3.24,1.141,16,0.15,246
3,4,10.25,8.64,65.56,16.24,15.54,1.4,9,0.18,159
3,4,6.45,4.87,34.87,9.56,32.57,1.2,9,0.38,194
2,3,2.57,2.25,6.87,6.27,44.87,0.613,17,0.08,300
2,1,0.28,0.26,2.54,1.54,59.64,1.79,16,0.111,312
3,3,7.28,9.64,95.64,27.35,12.35,1.184,12,0.16,309
2,4,8.03,10.24,102.36,23.65,15.37,0.954,6,0.56,26
2,2,6.04,8.32,67.28,17.65,26.54,1.75,19,0.21,350
3,3,6.22,8.97,68.99,16.32,35.68,1.1,12,0.51,204
2,3,6.33,9.32,64.67,15.89,34.67,1.39,17,0.08,254
2,3,6.47,8.16,65.61,17.85,38.97,1.39,17,0.23,310
3,2,5.12,6.21,63.27,18.67,34.79,1.37,14,0.16,198
2,2,2.13,3.46,29.85,8.2,46.97,1.7,13,0.05,247
2,1,2.16,3.48,30.57,7.36,47.34,1.78,16,0.21,11
3,1,1.56,3.57,28.78,9.67,42.38,1.007,16,0.1,83
2,2,1.89,3.21,25.34,8.34,49.34,1.42,19,0.1,310
3,2,1.87,3.64,24.37,7.35,50.64,1.015,14,0.12,93
2,2,2.57,4.25,33.57,6.35,51.27,0.935,19,0.1,350
2,1,2.97,3.47,32.48,6.57,49.37,0.769,13,0.56,201
2,1,2.39,3.01,34.68,3.24,47.34,1.46,2,0.11,201
2,1,0,1.24,10.23,7.36,47.34,1.89,14,0.15,153
2,1,0,1.34,14.85,1.28,55.34,1.46,18,0.15,199
2,1,0,1.65,13.64,1.67,45.66,1.88,18,0.11,235
2,1,0,0,16.44,6.57,55.34,1.43,19,0.072,235
3,3,6.24,6.21,71.36,11.28,34.29,1.184,14,0.5,113
4,3,6.26,5.26,72.38,12.37,29.64,1.51,12,0.17,204
4,1,0,2.31,24.67,3.68,48.24,1.74,7,0.55,89
4,2,3.04,2.11,25.84,3.58,47.24,0.755,18,0.081,278
4,3,7.28,6.84,54.61,9.34,34.65,0.951,14,0.21,201
3,4,7.88,6.57,62.47,8.38,39.64,1.4,12,0.59,194
4,2,10.68,1.01,23.46,3.66,41.25,0.749,18,0.081,71
4,3,6.87,6.48,70.54,10.89,34.57,1.49,12,0.126,183
4,2,4.842,3.834,20.917,10.459,15.69,1.323,18,0.08,292
4,4,17.589,6.001,6.275,4.183,17.46,1.102,17,0.12,330
2,3,13.357,4.269,25.101,7.321,15.97,0.613,17,0.23,248
3,2,13.737,2.807,28.238,10.459,12.61,0.581,16,0.16,353
2,1,0,0,46.018,11.504,41.74,0.769,2,0.08,153
4,2,5.243,0,57.522,13.596,3.67,0.755,18,0.081,120
4,4,15.638,5.831,57.522,10.459,16.73,0.91,17,0.57,117
3,2,14.767,5.516,31.376,3.138,14.11,1.015,16,0.16,228
4,4,13.567,4.681,39.743,5.229,4.4,0.544,9,0.12,99
5,3,9.055,5.708,32.422,6.275,3.6,1.4,13.75,0.17375,213
4,2,0.43,3.712,28.238,11.504,33.36,0.749,18,0.08,115
2,2,16.858,8.028,56.476,10.459,11.94,0.935,20,0.21,170
4,3,7.214,3.461,65.889,25.101,21.86,1.156,11,0.126,165
3,3,22.491,2.869,30.33,11.504,16.99,1.184,14,0.19,101
2,4,24.662,6.223,89.944,21.963,7.29,0.954,6,0.56,265
5,1,0,0,49.155,6.275,17.89,1.095,22.5,0.7125,322
3,2,2.441,1.92,47.064,14.642,18.05,0.914,14,0.16,93
4,1,0,0.403,16.734,0,21.78,0.958,7,0.092,140
3,1,0,3.44,11.504,0,18.66,0.469,19,0.58,91
2,4,14.647,1.511,97.265,18.825,48.07,0.954,6,0.56,192
4,1,0,1.775,28.238,0,9.9,0.582,19,0.55,217
4,5,25.893,3.62,15.688,7.321,15.38,1.141,16,0.15,354
4,3,10.185,2.88,31.376,6.275,16.6,0.839,12,0.21,182
2,2,9.205,0,3.138,1.046,23.78,0.875,19,0.08,165
4,3,14.957,2.644,51.247,7.321,17.5,1.575,12,0.21,183
1,2,10.025,2.917,8.367,5.229,4.2,1.143,2,0.68,234
3,3,11.306,7.573,1.046,0,20,1.117,8,0.19,303
4,1,0,4.015,16.734,21.963,29.4,1.166,7,0.55,128
4,4,26.593,2.337,18.825,8.367,29.29,1.439,17,0.139,312
3,2,0.79,0,57.522,10.459,40.94,1.27,16,0.12,111
4,1,0,3.977,39.743,0,23.17,0.935,7,0.092,89
2,1,0,0,32.422,0,26.13,1.43,18,0.19,274
3,1,0,2.127,40.789,10.459,4.75,1.007,16,0.58,83
2,3,4.402,3.274,96.219,10.459,43.29,1.223,16,0.08,300
4,1,0,5.384,46.018,5.229,44.07,1.062,19,0.092,89
4,3,13.367,9.019,17.78,9.413,22.79,0.951,11,0.126,167
4,1,0,3.051,51.247,13.596,45.57,1.123,7,0.55,230
4,4,11.856,4.387,103.54,8.367,15.56,1.396,17,0.57,265
5,2,2.951,0,58.568,16.734,14.03,1.189,20,0.1,201
4,2,14.747,0,23.009,2.092,8.13,1.062,18,0.08,71
5,1,0,2.361,43.926,0,28.74,1.381,22.5,0.17375,182
5,1,0,3.102,51.247,1.046,17.29,1.189,15,0.115,228
3,3,14.527,2.786,49.155,4.183,27.23,0.972,8,0.51,309
4,4,20.26,7.984,98.311,24.055,6.34,1.054,17,0.139,367
3,2,0.79,0,57.522,10.459,40.94,1.27,14,0.16,111
4,1,0,3.977,39.743,0,23.17,0.935,7,0.092,89
2,1,0,0,32.422,0,26.13,1.72,13,0.56,274
3,1,0,2.127,40.789,10.459,4.75,1.007,16,0.58,83
4,4,15.638,5.831,57.522,10.459,16.73,1.7,9,0.139,312
3,2,14.767,5.516,31.376,3.138,14.11,1.78,16,0.16,229
4,4,13.567,4.681,39.743,5.229,4.4,0.4,9,0.12,42
5,3,9.055,5.708,32.422,6.275,3.6,1.4,15,0.115,213
4,2,0.43,3.712,28.238,11.504,33.36,0.755,18,0.081,278
2,2,16.858,8.028,56.476,10.459,11.94,1.76,19,0.11,196
4,3,7.214,3.461,65.889,25.101,21.86,1.49,11,0.126,167
3,3,22.491,2.869,30.33,11.504,16.99,1.35,15,0.32,204
2,4,24.662,6.223,89.944,21.963,7.29,0.98,6,0.56,26
5,1,0,0,49.155,6.275,17.89,1.095,8.75,0.15,182
